,Compound,Date,Negative,Neutral,Positive,Source Account,Tweet Text,Tweets Ago
0,0.0,Tue Oct 02 19:02:07 +0000 2018,1.0,0.0,0.0,@BBC,"Discover the extraordinary story of how a small Scottish bank grew to briefly become the biggest in the world, befo… https://t.co/OQpgOJ7edi",1
1,-0.802,Tue Oct 02 17:55:03 +0000 2018,0.573,0.427,0.0,@BBC,Knife crime is up 22%. Who are the victims and what’s to blame? https://t.co/ZEAml31p9m,2
2,0.4019,Tue Oct 02 17:06:06 +0000 2018,0.803,0.0,0.197,@BBC,"The gender reveal party that sparked a massive 47,000 acre wildfire. 
👉 https://t.co/b0Xc17AuK5 https://t.co/ROh8TOMH7K",3
3,0.5574,Tue Oct 02 16:06:02 +0000 2018,0.816,0.0,0.184,@BBC,"In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN",4
4,-0.2732,Tue Oct 02 14:06:04 +0000 2018,0.554,0.242,0.204,@BBC,Two scientists who discovered how to fight cancer using the body's immune system have won the 2018 #NobelPrize for… https://t.co/fIj6Ly7Z3u,5
5,0.5994,Tue Oct 02 13:05:03 +0000 2018,0.795,0.0,0.205,@BBC,"🍲😋 A bowl of warm, hearty stew is always a welcome sight on a cold day.

From a classic beef stew to a vegetarian h… https://t.co/1X1qdk14Oh",6
6,0.0,Tue Oct 02 12:05:04 +0000 2018,1.0,0.0,0.0,@BBC,"Jodie Whittaker. New Doctor...and a 'Shat Lass'.
#TheGNShow #DoctorWho https://t.co/25HwEbjAfn",7
7,0.5719,Tue Oct 02 10:47:27 +0000 2018,0.829,0.0,0.171,@BBC,"Donna Strickland has become the first woman to have won the #NobelPrize in Physics in 55 years. 
👉… https://t.co/hGIojnR1W0",8
8,0.0,Tue Oct 02 10:27:17 +0000 2018,1.0,0.0,0.0,@BBC,"RT @BBCSport: SPOTY is back - and there are some big changes.

The BBC Sports Personality of the Year 2018 contenders will be revealed on t…",9
9,0.6696,Tue Oct 02 10:16:58 +0000 2018,0.728,0.0,0.272,@BBC,"❤️💃🏻 Ballet is still the love of Joyce's life at 98-years-old! 
#WorldBalletDay https://t.co/nzr3Jy1wbS",10
10,-0.6705,Tue Oct 02 09:22:00 +0000 2018,0.769,0.231,0.0,@BBC,"Over 300,000 marine animals are killed after becoming entangled in fishing gear every year. 
#DrowningInPlastic… https://t.co/WmFqGMo8Es",11
11,0.0,Tue Oct 02 09:10:44 +0000 2018,1.0,0.0,0.0,@BBC,RT @bbccomedy: ‘There She Goes’ starring @JefficaHoons and David Tennant comes to @BBCFOUR on October 16th. https://t.co/tH37Wg5TBC,12
12,-0.7964,Tue Oct 02 08:00:09 +0000 2018,0.679,0.321,0.0,@BBC,"In January 1918, the Spanish flu swept the world and killed more people than WW1. 
#TheFluThatKilled50Million https://t.co/WinYKnWfSA",13
13,0.0,Tue Oct 02 07:05:06 +0000 2018,1.0,0.0,0.0,@BBC,"👛 Do you know where your tips go? 

A guide to how tipping works in restaurants.
👉 https://t.co/CNU4t3iogG https://t.co/7dcsckQwcG",14
14,-0.6486,Tue Oct 02 06:09:05 +0000 2018,0.798,0.202,0.0,@BBC,"More than half of the world's killer whales could be wiped out by man-made chemicals, scientists say.  https://t.co/w1SaxVchyO",15
15,-0.128,Mon Oct 01 19:00:01 +0000 2018,0.919,0.081,0.0,@BBC,Wildlife biologist @LizBonnin visits scientists working at the cutting edge of plastics research. She works with le… https://t.co/rSc4ZR9MEX,16
16,0.0,Mon Oct 01 17:16:04 +0000 2018,1.0,0.0,0.0,@BBC,"A 19-year-old university student has described his photograph of a white fallow buck sneezing as a ""one-in-a-millio… https://t.co/A1q3ZEIz2z",17
17,0.7506,Mon Oct 01 16:05:44 +0000 2018,0.738,0.0,0.262,@BBC,"RT @BBCFood: 🥕 It's World Vegetarian Day and we're celebrating all things veggie. Whether you're looking for a quick lunch, a healthy trayb…",18
18,0.0,Mon Oct 01 15:48:02 +0000 2018,1.0,0.0,0.0,@BBC,"RT @CBeebiesHQ: Cuddle up cheek to cheek!

Sharon D. Clarke is back for tonight's #BedtimeStory 😴📚

The biographical tale of Ella Fitzgeral…",19
19,0.0,Mon Oct 01 15:00:02 +0000 2018,1.0,0.0,0.0,@BBC,These scientists have found plastic in every area of the Arctic; there are about 225 trillion particles in the whol… https://t.co/UoKtCXow1b,20
20,0.0,Mon Oct 01 14:01:07 +0000 2018,1.0,0.0,0.0,@BBC,"An Astrophysicist? A World Traveller? CEO of the British Library? 🔭📚🤷

Illustrator Sir Quentin Blake has reimagined… https://t.co/PqXhCcoHH9",21
21,0.0,Mon Oct 01 13:04:26 +0000 2018,1.0,0.0,0.0,@BBC,"RT @bbcgetinspired: 'I'm a Muslim woman, I'm visually-impaired and I'm a boxer' 🥊🥊 #GetInspired 

https://t.co/zJorjZokVM",22
22,0.7456,Mon Oct 01 13:03:06 +0000 2018,0.689,0.0,0.311,@BBC,"🎶🌟@LadyGaga and Jodie Whittaker playing the #DoctorWho theme tune on the theremin is AMAZING. #TheGNShow

https://t.co/PEwaE9tzNH",23
23,0.128,Mon Oct 01 12:33:03 +0000 2018,0.642,0.166,0.193,@BBC,"😂😃😐 Can you spot a fake laugh? 

Take this quiz to find out. 👉 https://t.co/LAFjV5ggf7 https://t.co/sFjlLRwzQK",24
24,-0.5574,Mon Oct 01 12:08:21 +0000 2018,0.795,0.205,0.0,@BBC,"Geoffrey Hayes, who hosted long-running children's TV show, Rainbow, has died aged 76.
👉 https://t.co/10XDMpYCiz https://t.co/vPs5odJKqy",25
25,0.7003,Mon Oct 01 11:03:02 +0000 2018,0.655,0.0,0.345,@BBC,"This Amazing Human uses coffee to give homeless people a second chance. ☕️💛#InternationalCoffeeDay

https://t.co/wOc1ce2B3J",26
26,0.3818,Mon Oct 01 10:03:06 +0000 2018,0.591,0.134,0.274,@BBC,"Turns out it's *quite* difficult to keep a straight face while testing laughing gas...

https://t.co/nFlgKY7NuY",27
27,-0.7351,Mon Oct 01 09:46:54 +0000 2018,0.763,0.237,0.0,@BBC,RT @BBCRadio4: We conducted the world's largest survey on loneliness and discovered that 16-24 year olds are the loneliest age group. Read…,28
28,0.0,Mon Oct 01 09:04:02 +0000 2018,1.0,0.0,0.0,@BBC,"We cannot WAIT for the new Doctor Who series! @bbcdoctorwho #TheGNShow

https://t.co/BkxpymO5Be",29
29,0.7845,Mon Oct 01 08:02:02 +0000 2018,0.734,0.0,0.266,@BBC,"Start your Monday the right way. Watch Tom Hardy explain to a child why we should love all things equally. 💔😭

https://t.co/646n5wwjvL",30
30,-0.7845,Mon Oct 01 07:32:01 +0000 2018,0.566,0.434,0.0,@BBC,Persistent chemical pollution threatens the future of killer whales. 💔 https://t.co/wJJIQj8WLK https://t.co/saSP4leLjt,31
31,-0.872,Mon Oct 01 07:03:05 +0000 2018,0.602,0.398,0.0,@BBC,"Last year @higeorgeshelley's sister died in an accident. 

He opens up about grief and how to cope.

https://t.co/4SajjiJI6e",32
32,0.4753,Sun Sep 30 20:21:03 +0000 2018,0.843,0.0,0.157,@BBC,"RT @BBCOne: “I see women out with their babies walking around like it’s nothing… I just want to yell out at them, “You’re amazing!” @Jenna_…",33
33,0.6239,Sun Sep 30 19:39:53 +0000 2018,0.687,0.0,0.313,@BBC,RT @bbcstrictly: Wow. #Strictly Movie Week looks wand-erful! 🧙‍♂️✨ https://t.co/3Iko29h06s,34
34,0.0,Sun Sep 30 19:03:02 +0000 2018,1.0,0.0,0.0,@BBC,"A mother’s life disintegrates while the world looks on. 

#TheCry | 9pm | @BBCOne | https://t.co/hDRdVsMamq https://t.co/2SrLnoKGLi",35
35,0.0,Sun Sep 30 17:16:03 +0000 2018,1.0,0.0,0.0,@BBC,Tonight it's the first @BBCStrictly results show! Find out which couples have made it through and which two will be… https://t.co/vytPpS8tTl,36
36,0.5106,Sun Sep 30 16:22:42 +0000 2018,0.769,0.063,0.167,@BBC,"RT @BBCOne: #TheCry ""is the perfect replacement for #Bodyguard, a twisting, turning whodunit that leaves you questioning everybody."" The Te…",37
37,0.4574,Sun Sep 30 16:22:25 +0000 2018,0.875,0.0,0.125,@BBC,"RT @BBCOne: To mark 30 years in music, we’re making a @takethat documentary special and WE NEED YOU! 

Head to https://t.co/WiKSYB8coP to s…",38
38,0.0,Sun Sep 30 16:01:09 +0000 2018,0.773,0.113,0.113,@BBC,"🕺✨ @Joe_Sugg says he worried that he was the 'joke act' in this year's #Strictly. 

https://t.co/FmKBnEJeoX https://t.co/O1GfHHBJud",39
39,0.0,Sun Sep 30 15:03:03 +0000 2018,1.0,0.0,0.0,@BBC,"This is the incredible story of how London dug the Victoria Line! 🚇

https://t.co/F8MsetBclS",40
40,-0.296,Sun Sep 30 14:02:04 +0000 2018,0.901,0.099,0.0,@BBC,"In Japan, 'aki no koe' refers to autumn's voice, which incorporates all the sounds of the season: the wind rustling… https://t.co/2fynWfK1Wu",41
41,0.0,Sun Sep 30 13:06:04 +0000 2018,1.0,0.0,0.0,@BBC,"""Dyslexia tries to kick my butt daily - but I won't let it beat me"". 

https://t.co/EmtRJC2V5G",42
42,0.0,Sun Sep 30 12:44:04 +0000 2018,1.0,0.0,0.0,@BBC,Kanye West is changing his name... to Ye. https://t.co/TMRrrzJuKX https://t.co/0ZkgnEbFkA,43
43,0.0,Sun Sep 30 12:31:04 +0000 2018,1.0,0.0,0.0,@BBC,The lush green mosses of East Antarctica are finally succumbing to climate change. 💔 https://t.co/z7j8jcx6TO https://t.co/r7C9gypVhC,44
44,0.1531,Sun Sep 30 11:02:01 +0000 2018,0.873,0.0,0.127,@BBC,"Going on a night out can be challenging when you're a wheelchair user. 

https://t.co/YvvQ1SnosW",45
45,-0.7783,Sun Sep 30 10:00:00 +0000 2018,0.726,0.274,0.0,@BBC,"This is disgusting. 😔

The Citarum River in Indonesia is one of the dirtiest rivers in the world. 

Plastic polluti… https://t.co/F6z2NpXseT",46
